time_abs(%Y-%m-%dT%H:%M:%S.%f),time_rel(sec),velocity(m/s)
1970-03-25T21:17:45.798491,76665.35849056604,-8.127859845403404e-10
1970-03-25T21:17:45.949434,76665.50943396226,-4.358399809354616e-10
1970-03-25T21:17:46.100377,76665.6603773585,-2.924522991074325e-10
1970-03-25T21:17:46.251321,76665.81132075471,-3.770890872470365e-10
1970-03-25T21:17:46.402264,76665.96226415095,-5.32424554151145e-10
1970-03-25T21:17:46.553208,76666.11320754717,-5.711368303470572e-10
1970-03-25T21:17:46.704151,76666.2641509434,-4.0188351762591955e-10
1970-03-25T21:17:46.855094,76666.41509433962,-7.900098671485626e-11
1970-03-25T21:17:47.006038,76666.56603773584,2.47152833043198e-10
1970-03-25T21:17:47.156981,76666.71698113208,4.3796593600400295e-10
1970-03-25T21:17:47.307925,76666.8679245283,4.5848079680218334e-10
1970-03-25T21:17:47.458868,76667.01886792453,3.9390888233065465e-10
1970-03-25T21:17:47.609811,76667.16981132075,3.815503750394264e-10
1970-03-25T21:17:47.760755,76667.32075471699,5.04977130446815e-10
1970-03-25T21:17:47.911698,76667.47169811321,7.247709538573227e-10
1970-03-25T21:17:48.062642,76667.62264150943,8.988055848772051e-10
1970-03-25T21:17:48.213585,76667.77358490566,8.842894547728016e-10
1970-03-25T21:17:48.364528,76667.92452830188,6.521767728773285e-10
1970-03-25T21:17:48.515472,76668.07547169812,3.278983880125837e-10
1970-03-25T21:17:48.666415,76668.22641509434,1.1945755056483303e-10
1970-03-25T21:17:48.817358,76668.37735849057,1.7631836666011902e-10
1970-03-25T21:17:48.968302,76668.52830188679,4.795567014778247e-10
1970-03-25T21:17:49.119245,76668.67924528301,8.47669224243285e-10
1970-03-25T21:17:49.270189,76668.83018867925,1.059423957315948e-09
1970-03-25T21:17:49.421132,76668.98113207547,1.0060941156306295e-09
1970-03-25T21:17:49.572075,76669.1320754717,7.606207047652743e-10
1970-03-25T21:17:49.723019,76669.28301886792,5.13081392477991e-10
1970-03-25T21:17:49.873962,76669.43396226416,4.237171142738139e-10
1970-03-25T21:17:50.024906,76669.58490566038,5.066056650758864e-10
